epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,6.50149,0.44363,0.3107,1,165.542,0.0708824,0.00323529,0.00323529
2,9.53026,0.43793,0.66841,1,5.6709,0.0408173,0.0065036,0.0065036
3,12.3933,0.39151,0.3812,1,78.9375,0.0106863,0.0097059,0.0097059
4,15.1835,0.36315,0.66319,1,11.0716,0.009703,0.009703,0.009703
5,18.1516,0.34378,0.3812,1,nan,0.009604,0.009604,0.009604
6,20.9781,0.42424,0.88512,1,0.31641,0.009505,0.009505,0.009505
7,23.7342,0.45063,0.80157,1,nan,0.009406,0.009406,0.009406
8,26.5764,0.27258,0.97389,1,0.14923,0.009307,0.009307,0.009307
9,29.3745,0.25059,0.95822,1,0.12021,0.009208,0.009208,0.009208
10,32.1559,0.27031,0.77807,1,nan,0.009109,0.009109,0.009109
11,34.9597,0.19424,0.96084,1,0.14712,0.00901,0.00901,0.00901
12,37.7776,0.15346,0.9765,1,0.11871,0.008911,0.008911,0.008911
13,40.5903,0.15838,0.98956,1,0.07612,0.008812,0.008812,0.008812
14,43.4533,0.21463,0.95039,1,0.24786,0.008713,0.008713,0.008713
15,46.1967,0.17524,0.98433,1,0.08506,0.008614,0.008614,0.008614
16,48.9555,0.13327,0.98695,1,0.06562,0.008515,0.008515,0.008515
17,51.6852,0.14683,0.98695,1,0.07308,0.008416,0.008416,0.008416
18,54.3719,0.11723,0.96084,1,0.16252,0.008317,0.008317,0.008317
19,57.1408,0.11547,0.97911,1,0.07259,0.008218,0.008218,0.008218
20,59.9191,0.17478,0.96084,1,0.10101,0.008119,0.008119,0.008119
21,62.6808,0.13702,0.97389,1,0.06919,0.00802,0.00802,0.00802
22,65.3525,0.106,0.98433,1,0.06477,0.007921,0.007921,0.007921
23,68.0416,0.12415,0.90862,1,0.4021,0.007822,0.007822,0.007822
24,70.762,0.10894,0.98956,1,0.05575,0.007723,0.007723,0.007723
25,73.4886,0.11008,0.99217,1,0.05421,0.007624,0.007624,0.007624
26,76.2416,0.47678,0.32898,1,nan,0.007525,0.007525,0.007525
27,78.9914,0.25935,0.97911,1,0.0892,0.007426,0.007426,0.007426
28,81.7291,0.27416,0.97128,1,0.11563,0.007327,0.007327,0.007327
29,84.4739,0.22866,0.96345,1,0.12748,0.007228,0.007228,0.007228
30,87.3798,0.17098,0.98172,1,0.07747,0.007129,0.007129,0.007129
31,90.0832,0.30368,0.98695,1,0.07784,0.00703,0.00703,0.00703
32,92.7941,0.14981,0.98172,1,0.08242,0.006931,0.006931,0.006931
33,95.4565,0.11584,0.97911,1,0.06248,0.006832,0.006832,0.006832
34,98.14,0.11435,0.91123,1,0.81559,0.006733,0.006733,0.006733
35,100.87,0.11826,0.98433,1,0.05318,0.006634,0.006634,0.006634
36,103.693,0.11436,0.98695,1,0.05026,0.006535,0.006535,0.006535
37,106.41,0.11069,0.98695,1,0.06803,0.006436,0.006436,0.006436
38,109.093,0.13036,0.96606,1,0.09448,0.006337,0.006337,0.006337
39,111.809,0.14508,0.97389,1,0.07506,0.006238,0.006238,0.006238
40,114.569,0.11551,0.98172,1,0.08877,0.006139,0.006139,0.006139
41,117.349,0.1295,0.91123,1,0.56274,0.00604,0.00604,0.00604
42,120.098,0.11711,0.98433,1,0.03802,0.005941,0.005941,0.005941
43,122.818,0.09016,0.99217,1,0.02839,0.005842,0.005842,0.005842
44,125.495,0.09311,0.99217,1,0.03921,0.005743,0.005743,0.005743
45,128.214,0.09946,0.99217,1,0.02632,0.005644,0.005644,0.005644
